Rank,Town,County,Per_capita_income,Median_household_income,Median_family_income,Population,Number_of_households,Square_Miles,Population_Density,Average_Age,Zillow,Mill_Rate,Net_Municipal_Grand,Budget_Education,PPE
1,Avon,Hartford,116048.00,169375.00,208125.00,22290.00,7318.00,23.12,964.10,42.20,344200.00,30.59,2577798250.00,0.64,16218.00
83,Berlin,Hartford,38134.00,86211.00,98677.00,19866.00,7808.00,26.45,751.08,41.10,268700.00,31.61,2177154828.00,0.50,16044.00
66,Bloomfield,Hartford,39738.00,68372.00,84583.00,20486.00,8554.00,26.01,787.62,43.90,201600.00,37.56,2033984990.00,0.47,20879.00
58,Branford,NewHaven,41540.00,70640.00,86696.00,28026.00,12739.00,21.98,1275.07,41.40,270700.00,28.47,3485684401.00,0.50,17758.00
9,Brookfield,Fairfield,58715.00,119370.00,136682.00,17550.00,6872.00,19.80,886.36,39.10,335500.00,27.29,2240023646.00,0.63,14994.00
63,Cheshire,NewHaven,40498.00,107936.00,123539.00,29261.00,10041.00,32.91,889.12,38.40,290600.00,31.94,2726793817.00,0.65,15781.00
52,Cromwell,Middlesex,41926.00,82012.00,99362.00,14005.00,5752.00,12.39,1130.35,40.20,205500.00,31.68,1289926800.00,0.60,14364.00
3,Darien,Fairfield,105846.00,208906.00,343456.00,20732.00,6555.00,12.86,1612.13,38.00,1387500.00,16.16,8356198215.00,0.66,19727.00
19,Fairfield,Fairfield,60155.00,122306.00,152760.00,59404.00,20233.00,30.03,1978.16,39.90,525800.00,25.85,10975624915.00,0.57,17063.00
26,Farmington,Hartford,52341.00,91712.00,120026.00,25340.00,10343.00,28.06,903.06,41.40,283800.00,26.68,3532450005.00,0.62,16613.00
10,Glastonbury,Hartford,57709.00,109018.00,129648.00,34427.00,13121.00,51.37,670.18,39.90,319600.00,37.45,3871305346.00,0.65,16300.00
32,Granby,Hartford,46687.00,97500.00,111339.00,11282.00,4194.00,40.69,277.27,39.70,251800.00,37.94,965474890.00,0.66,14888.00
4,Greenwich,Fairfield,90087.00,128153.00,167825.00,61171.00,22083.00,47.83,1278.93,41.00,1327600.00,11.37,31086586390.00,0.36,21518.00
22,Madison,NewHaven,52413.00,107183.00,136981.00,18269.00,6779.00,36.20,504.67,41.00,406100.00,27.30,2861223204.00,0.70,17746.00
43,Monroe,Fairfield,43842.00,109727.00,119357.00,19479.00,6735.00,26.13,745.46,38.10,359000.00,35.76,2146111708.00,0.66,17109.00
2,NewCanaan,Fairfield,105846.00,168311.00,437096.00,19738.00,6857.00,22.13,891.91,40.20,1276400.00,16.67,8126991701.00,0.59,20603.00
71,NewFairfield,Fairfield,39486.00,101067.00,108720.00,13881.00,4802.00,20.46,678.45,37.30,335200.00,29.82,1578364683.00,0.68,15553.00
81,NorthHaven,NewHaven,38286.00,83588.00,94916.00,24093.00,9135.00,20.77,1159.99,41.90,2685600.00,30.53,2750583219.00,0.53,15804.00
45,OldSaybrook,Middlesex,43400.00,79985.00,99595.00,10242.00,4247.00,15.04,680.98,44.50,360300.00,19.66,2219086904.00,0.57,19582.00
36,Orange,NewHaven,44983.00,102255.00,115685.00,13956.00,5123.00,17.19,811.87,43.20,348500.00,33.28,1921064120.00,0.64,17741.00
8,Ridgefield,Fairfield,75634.00,145902.00,169033.00,24638.00,8902.00,34.43,715.60,39.40,585100.00,27.21,4711745970.00,0.65,17653.00
54,Simsbury,Hartford,41883.00,99764.00,108564.00,23511.00,8776.00,33.88,693.95,40.00,307400.00,38.76,2268971299.00,0.72,16174.00
75,SouthWindsor,Hartford,38945.00,88350.00,94602.00,25709.00,9918.00,27.96,919.49,39.00,237600.00,38.08,2500561611.00,0.63,17195.00
65,Southbury,NewHaven,40022.00,68041.00,104838.00,19904.00,8213.00,39.06,509.58,45.70,262300.00,29.30,2119764540.00,0.68,17285.00
51,Stonington,NewLondon,42184.00,72445.00,86029.00,18545.00,8115.00,38.69,479.32,44.00,402700.00,22.98,2622270316.00,0.55,16865.00
40,Trumbull,Fairfield,44006.00,102059.00,117855.00,36018.00,12725.00,23.29,1546.50,40.30,359000.00,33.39,4520675882.00,0.60,15600.00
85,Waterford,NewLondon,37690.00,69810.00,91893.00,19517.00,8005.00,32.75,595.94,42.80,226500.00,27.03,3158331722.00,0.52,16562.00
44,WestHartford,Hartford,53534.00,98530.00,136547.00,63268.00,25258.00,21.98,2878.43,39.70,288000.00,41.04,5946170476.00,0.56,15482.00
5,Weston,Fairfield,92794.00,217171.00,285612.00,10179.00,3379.00,19.80,514.09,39.70,752900.00,28.91,2341794069.00,0.80,21253.00
6,Westport,Fairfield,97395.00,162907.00,293989.00,26391.00,9740.00,20.01,1318.89,41.50,1093200.00,16.86,10089688656.00,0.61,20541.00
87,Wethersfield,Hartford,37329.00,71284.00,91563.00,26668.00,11204.00,12.39,2152.38,44.10,235800.00,39.77,2213400730.00,0.56,15442.00
7,Wilton,Fairfield,78131.00,172095.00,203047.00,18062.00,5953.00,26.95,670.20,40.20,708600.00,27.77,4296191050.00,0.64,20040.00
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
